city_name,city_id,OBJECTID,CT20,pct_censustract
La Puente,67,1323,407101,0.9988
Unincorporated,31,1323,407101,0.0012
Industry,3,1324,407102,0.0027
La Puente,67,1324,407102,0.9973
Unincorporated,31,1324,407102,0
Industry,3,1325,407201,0.0003
La Puente,67,1325,407201,0.9997
Unincorporated,31,1325,407201,0
Industry,3,1326,407202,0.0007
La Puente,67,1326,407202,0.9986
Unincorporated,31,1326,407202,0.0007
La Puente,67,1327,407301,0.0314
Unincorporated,31,1327,407301,0.9686
La Puente,67,1328,407302,0.0013
Unincorporated,31,1328,407302,0.9987
Unincorporated,31,1329,407400,0.001
West Covina,121,1329,407400,0.999
La Puente,67,1330,407501,0.3429
Unincorporated,31,1330,407501,0.4075
Unincorporated,31,1330,407501,0.2495
West Covina,121,1330,407501,0.0001
La Puente,67,1331,407502,0
Unincorporated,31,1331,407502,0.9999
West Covina,121,1331,407502,0
La Puente,67,1332,407601,0.9983
Unincorporated,31,1332,407601,0.0017
Industry,3,1333,407602,0.0041
La Puente,67,1333,407602,0.9959
Industry,3,1334,407701,0.0041
La Puente,67,1334,407701,0.9958
Unincorporated,31,1334,407701,0.0001
Industry,3,1335,407702,0.0005
La Puente,67,1335,407702,0.9995
Unincorporated,31,1336,407801,0.9944
West Covina,121,1336,407801,0.0056
Industry,3,1337,407802,0.765
La Puente,67,1337,407802,0.0004
Unincorporated,31,1337,407802,0.2346
Unincorporated,31,1338,407901,0.9998
West Covina,121,1338,407901,0.0002
Unincorporated,31,1339,407902,0.0184
West Covina,121,1339,407902,0.9816
Unincorporated,31,1340,408003,0.4217
West Covina,121,1340,408003,0.5783
Unincorporated,31,1341,408004,0.0034
West Covina,121,1341,408004,0.9966
Walnut,113,1342,408005,0
West Covina,121,1342,408005,1
Walnut,113,1343,408006,0
West Covina,121,1343,408006,1
Unincorporated,31,1344,408133,0.0373
West Covina,121,1344,408133,0.9627
Walnut,113,1345,408134,0
West Covina,121,1345,408134,1
Unincorporated,31,1346,408135,0.0003
Walnut,113,1346,408135,0
West Covina,121,1346,408135,0.9997
Industry,3,1347,408136,0.0004
Unincorporated,31,1347,408136,0
Unincorporated,31,1347,408136,0.0001
Walnut,113,1347,408136,0.0017
West Covina,121,1347,408136,0.9979
